"year","country","v2x_polyarchy","v2x_pubcorr","v2jucorrdc","v2xel_regelec","v2elsnlsff","v2elrgpwr","e_fh_rol","v2ellocelc","v2ellocpwr","v2xel_locelec","RWI","bmr_democracy","polity","polity2","xpolity","gdppc10","pop","minor","major","armedconf","fh.A.Legal","fh.B.Political","fh.C.Economic","fh.total.score","fh.media.freedom","rulelaw.wb","l.polity2","polity2.squ","l.polity2.squ","v2x_polyarchy.sq","v2x_libdem.sq","lpop","l.lpop","lrgdp","l.lrgdp","pts","l.pts","gwno","alljourn","polgroup","state","other","unknown","stateunknown","stateunknownother","foreign.state","local.state","capital.stateunknown","capital.state","nocapital.state","regional.media.state","national.media.state","international.media.state","foreign.unknown","local.unknown","capital.unknown","nocapital.unknown","regional.media.unknown","national.media.unknown","international.media.unknown","state.nationalreach.d","unknown.nationalreach.d","state.localreach.d","unknown.localreach.d","state.d","unknown.d","stateunknown.d","polgroup.d","other.d","capital.state.d","capital.unknown.d","capital.stateunknown.d","nocapital.state.d","nocapital.unknown.d","regional.media.state.d","national.media.state.d","international.media.state.d","regional.media.unknown.d","national.media.unknown.d","international.media.unknown.d","nonregional.state.d","nonregional.unknown.d"
2006,"Dominican Republic",0.662,0.775,1.162,0.394,-0.779,0.795,10,5,1.563,0.942,"electoral democracy",1,8,8,6,4692.98773105718,9371333,NA,0,0,8,18,14,40,1,-0.5758091,8,64,64,0.438244,0.150544,16.0531659066363,16.0387888807497,8.45382470148399,8.3668086781434,3,3,42,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,"Dominican Republic",0.661,0.775,1.162,0.394,-0.867,0.795,10,5,1.563,0.942,"electoral democracy",1,8,8,6,5120.62192269527,9636491,NA,0,0,8,19,13,40,1,-0.6602893,8,64,64,0.436921,0.146689,16.0810675961718,16.067258673495,8.54103117993318,8.52324934423317,4,3,42,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2011,"Dominican Republic",0.662,0.77,1.162,0.394,-0.854,0.795,8,5,1.563,0.942,"electoral democracy",1,8,8,6,5547.76391171133,10027140,NA,0,0,7,21,13,41,1,-0.7734064,8,64,64,0.438244,0.141376,16.1208059747104,16.1078415569738,8.6211502267642,8.60356684302462,4,4,42,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,"Mexico",0.678,0.334,0.848,0.989,-1.039,2.298,NA,5,1.791,0.963,"electoral democracy",1,8,8,6,8303.72475707631,105578297,NA,0,0,13,16,9,38,1,-0.3097694,NA,64,NA,0.459684,0.263169,18.4749633872808,18.4622022985234,9.02445945903219,9.03590224544567,3,3,70,3,0,0,0,3,3,3,0,0,1,0,0,0,0,0,0,3,1,2,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0
2004,"Mexico",0.713,0.382,0.848,0.989,-1.039,2.298,NA,5,1.791,0.963,"electoral democracy",1,8,8,6,8566.23175004038,108257822,NA,0,0,11,20,11,42,1,-0.3740855,8,64,64,0.508369,0.298116,18.5000261808968,18.4872960258787,9.05558321244866,9.02625328288476,3,3,70,4,0,0,2,2,2,4,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
2005,"Mexico",0.713,0.382,0.848,0.989,-1.039,2.298,8,5,1.791,0.963,"electoral democracy",1,8,8,6,8706.17536306863,109747906,NA,0,0,13,22,13,48,1,-0.3469595,8,64,64,0.508369,0.298116,18.5136965300109,18.5000261808968,9.07178786469236,9.05558321244866,3,3,70,2,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2006,"Mexico",0.7,0.365,0.848,0.989,-1.039,2.298,8,5,1.791,0.963,"electoral democracy",1,8,8,6,9002.53963070199,111382857,NA,0,0,12,23,13,48,1,-0.4314989,8,64,64,0.49,0.267289,18.5284839867216,18.5136965300109,9.10526199770184,9.07178786469236,3,3,70,9,0,2,4,3,5,9,1,1,1,0,2,1,0,1,0,3,1,2,3,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0,1,0
2007,"Mexico",0.675,0.365,0.848,0.989,-1.039,2.298,7,5,1.791,0.963,"electoral democracy",1,8,8,6,9146.74710582072,113139374,NA,0,0,13,25,13,51,1,-0.4940353,8,64,64,0.455625,0.235225,18.544131014896,18.5284839867216,9.1211535875012,9.10526199770184,3,3,70,7,0,0,5,2,2,7,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
2008,"Mexico",0.686,0.365,0.848,0.989,-1.039,2.298,6,5,1.791,0.963,"electoral democracy",1,8,8,6,9126.92442320697,114972821,NA,0,0,15,27,13,55,1,-0.6678741,8,64,64,0.470596,0.255025,18.5602063192646,18.544131014896,9.11898405190924,9.1211535875012,3,3,70,6,0,0,3,3,3,6,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
2009,"Mexico",0.687,0.365,0.848,0.989,-1.039,2.298,6,5,1.791,0.963,"electoral democracy",1,8,8,6,8560.71639194072,116815612,NA,0,0,16,30,14,60,1,-0.559861,8,64,64,0.471969,0.246016,18.5761072838097,18.5602063192646,9.0549391562812,9.11898405190924,4,3,70,11,0,1,3,7,8,11,0,1,0,0,1,1,0,0,0,7,0,7,6,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1
2010,"Mexico",0.669,0.391,0.806,0.989,-1.039,2.298,6,5,1.791,0.963,"electoral democracy",1,8,8,6,8861.49371999101,118617542,NA,0,0,17,31,14,62,0,-0.5508309,8,64,64,0.447561,0.239121,18.5914149425281,18.5761072838097,9.0894706208103,9.0549391562812,4,4,70,11,0,0,3,8,8,11,0,0,0,0,0,0,0,0,0,8,0,8,6,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
2011,"Mexico",0.669,0.391,0.806,0.989,-1.039,2.298,6,5,1.791,0.963,"electoral democracy",1,8,8,6,9086.03194102748,120365271,NA,0,0,17,31,14,62,0,-0.5492158,8,64,64,0.447561,0.239121,18.6060416023863,18.5914149425281,9.11449356172452,9.0894706208103,3,4,70,11,0,1,7,3,4,11,0,1,0,0,1,0,1,0,0,3,0,3,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1
2012,"Mexico",0.653,0.412,0.806,0.989,-1.039,2.298,6,5,1.791,0.963,"electoral democracy",1,8,8,6,9319.06437046624,122070963,NA,0,0,16,31,14,61,0,-0.534087,8,64,64,0.426409,0.205209,18.6201130975311,18.6060416023863,9.13981751320533,9.11449356172452,4,3,70,7,0,0,3,4,4,7,0,0,0,0,0,0,0,0,0,4,0,4,3,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1
2013,"Mexico",0.641,0.601,1.321,0.939,-1.352,1.549,6,5,1.346,0.91,"electoral democracy",1,8,8,6,9318.39509648765,123740109,NA,0,0,16,31,14,61,0,-0.5444897,8,64,64,0.410881,0.209764,18.633694028946,18.6201130975311,9.13974569290385,9.13981751320533,4,4,70,4,0,0,1,3,3,4,0,0,0,0,0,0,0,0,0,3,0,3,2,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1
2014,"Mexico",0.6,0.601,1.321,0.939,-1.352,1.549,6,5,1.346,0.91,"electoral democracy",1,8,8,6,9402.56912839563,125385833,NA,0,0,18,31,14,63,0,-0.4228251,8,64,64,0.36,0.184041,18.6469062052993,18.633694028946,9.14873824244675,9.13974569290385,4,4,70,3,0,0,1,2,2,3,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
2015,"Mexico",0.645,0.594,1.01,0.982,-0.656,2.069,6,5,1.779,0.964,"electoral democracy",1,8,8,6,9510.59625434977,127017224,NA,0,0,19,31,14,64,0,-0.447092,8,64,64,0.416025,0.216225,18.6598332572743,18.6469062052993,9.16016185119229,9.14873824244675,4,4,70,8,0,4,1,3,7,8,0,4,1,1,3,4,1,0,0,3,0,2,3,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0
2016,"Mexico",0.666,0.594,1.01,0.982,-0.656,2.069,6,5,1.779,0.964,"electoral democracy",NA,8,8,6,NA,NA,NA,0,0,19,31,14,64,0,NA,8,64,64,0.443556,0.237169,NA,18.6598332572743,NA,9.16016185119229,4,4,70,10,0,2,2,6,8,10,0,2,0,0,2,1,0,0,0,6,0,6,5,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0
2003,"Guatemala",0.516,0.894,1.23,0,-0.876,NA,NA,5,1.121,0.867,"electoral democracy",1,8,8,6,2579.87425477125,12573346,NA,0,0,17,30,15,62,0,-1.072579,8,64,64,0.266256,0.110889,16.347089734484,16.3228477515981,7.85549593826715,7.85474496393674,3,3,90,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
2006,"Guatemala",0.633,0.795,1.23,0,-0.876,NA,5,5,1.121,0.867,"electoral democracy",1,8,8,6,2699.00690262884,13490041,NA,0,0,17,26,16,59,1,-1.094119,8,64,64,0.400689,0.160801,16.4174622674677,16.3944769849168,7.90063917049115,7.87122389263967,4,4,90,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
2007,"Guatemala",0.619,0.795,1.23,0,-0.876,NA,5,5,1.121,0.867,"electoral democracy",1,8,8,6,2805.19230640363,13797629,NA,0,0,17,25,16,58,1,-1.11538,8,64,64,0.383161,0.165649,16.4400073237719,16.4174622674677,7.93922737403944,7.90063917049115,3,4,90,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
2008,"Guatemala",0.611,0.773,1.23,0,-0.876,NA,5,5,1.121,0.867,"electoral democracy",1,8,8,6,2833.75853942043,14106687,NA,0,0,16,26,18,60,1,-1.109739,8,64,64,0.373321,0.163216,16.462159498244,16.4400073237719,7.94935921528713,7.93922737403944,3,3,90,2,0,0,0,2,2,2,0,0,1,0,0,0,0,0,0,2,1,1,0,2,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
2009,"Guatemala",0.603,0.773,1.23,0,-0.876,NA,5,5,1.121,0.867,"electoral democracy",1,8,8,6,2787.15065743587,14418033,NA,0,0,16,26,18,60,1,-1.018172,8,64,64,0.363609,0.149769,16.4839902727497,16.462159498244,7.9327750832279,7.94935921528713,3,3,90,2,0,0,0,2,2,2,0,0,1,0,0,0,0,0,0,2,1,1,0,2,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
2010,"Guatemala",0.588,0.773,1.23,0,-0.612,NA,6,5,1.121,0.867,"electoral democracy",1,8,8,6,2805.97393749085,14732261,NA,0,0,16,25,18,59,1,-0.9600777,8,64,64,0.345744,0.158404,16.5055502729256,16.4839902727497,7.93950597248344,7.9327750832279,3,3,90,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2011,"Guatemala",0.577,0.773,1.23,0,-0.612,NA,6,5,1.121,0.867,"electoral democracy",1,8,8,6,2861.19085880303,15049280,NA,0,0,16,26,18,60,1,-1.036425,8,64,64,0.332929,0.171396,16.5268407074832,16.5055502729256,7.95899320134692,7.93950597248344,3,3,90,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2013,"Guatemala",0.643,0.717,1.037,0,-0.467,NA,6,5,1.322,0.904,"electoral democracy",1,8,8,6,2930.19426816341,15690793,NA,0,0,17,25,18,60,1,-1.083479,8,64,64,0.413449,0.207936,16.5685846651784,16.5478473705504,7.9828240029406,7.96725265135108,2,3,90,5,0,1,0,4,5,5,0,1,0,0,1,1,0,0,0,4,0,3,2,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1
2015,"Guatemala",0.616,0.717,0.68,0,-0.467,NA,5,5,1.322,0.904,"electoral democracy",1,8,8,7,3052.29506767796,16342897,NA,0,0,18,23,17,58,1,-0.9472803,8,64,64,0.379456,0.194481,16.6093039266629,16.5890671866315,8.02364906783531,8.00323549712535,3,3,90,3,0,2,1,0,2,3,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
2016,"Guatemala",0.66,0.602,0.68,0,-0.467,NA,6,5,1.322,0.904,"electoral democracy",NA,8,8,7,NA,NA,NA,0,0,18,23,17,58,1,NA,8,64,64,0.4356,0.245025,NA,16.6093039266629,NA,8.02364906783531,3,3,90,3,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,3,0,3,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1
2003,"Honduras",0.606,0.874,1.002,0.459,-0.697,1.388,NA,5,1.071,0.859,"electoral democracy",1,7,7,5,1765.0609665776,6626304,NA,0,0,14,22,16,52,1,-0.8814018,7,49,49,0.367236,0.112896,15.7065577406567,15.6871590307463,7.47594051074115,7.4508723116144,3,3,91,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,"Honduras",0.567,0.872,1.002,0.459,-0.697,1.388,7,5,1.071,0.859,"electoral democracy",1,7,7,5,2090.18250415186,7133737,NA,0,0,15,22,14,51,1,-0.9304911,7,49,49,0.321489,0.108241,15.7803457785079,15.7624243460625,7.64500666370716,7.60288409305757,3,3,91,1,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
2008,"Honduras",0.562,0.869,1.002,0.459,-0.697,1.388,7,5,1.071,0.859,"electoral democracy",1,7,7,5,2140.89709233745,7259470,NA,0,0,15,23,14,52,1,-0.9648281,7,49,49,0.315844,0.108241,15.7978173813813,15.7803457785079,7.66898022220212,7.64500666370716,3,3,91,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2009,"Honduras",0.479,0.873,1.002,0.459,-0.697,1.388,7,5,1.071,0.859,"electoral autocracy",0,7,7,5,2053.8614011094,7383098,NA,0,0,17,27,15,59,1,-0.8969461,7,49,49,0.229441,0.0784,15.8147038916902,15.7978173813813,7.62747691066038,7.66898022220212,4,3,91,5,0,0,0,5,5,5,0,0,1,0,0,0,0,0,0,5,1,4,1,3,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1
2010,"Honduras",0.432,0.873,0.806,0.458,-0.715,1.166,7,5,1.068,0.859,"electoral autocracy",1,7,7,5,2096.20294862728,7503875,NA,0,0,16,30,15,61,0,-0.8780162,7,49,49,0.186624,0.0529,15.8309301117469,15.8147038916902,7.64788286738869,7.62747691066038,3,4,91,10,0,0,1,9,9,10,0,0,1,0,0,0,0,0,0,9,1,8,7,2,0,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,1
2011,"Honduras",0.464,0.857,0.806,0.423,-0.715,1.024,7,5,1.239,0.891,"electoral autocracy",1,7,7,5,2143.03873556544,7621414,NA,0,0,17,30,15,62,0,-0.9038631,7,49,49,0.215296,0.065536,15.8464724747524,15.8309301117469,7.6699800707024,7.64788286738869,3,3,91,6,0,0,2,4,4,6,0,0,0,0,0,0,0,0,0,4,0,4,3,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1
2012,"Honduras",0.454,0.827,0.806,0.423,-0.715,1.024,7,5,1.239,0.891,"electoral autocracy",1,7,7,5,2198.42753307587,7736131,NA,0,0,17,30,15,62,0,-1.140215,7,49,49,0.206116,0.085264,15.8614122497878,15.8464724747524,7.69549762609256,7.6699800707024,3,3,91,5,0,0,1,4,4,5,0,0,2,0,0,0,0,0,0,4,2,1,1,2,0,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,1
2013,"Honduras",0.463,0.829,0.59,0.423,-0.892,1.024,5,5,1.102,0.866,"electoral autocracy",1,7,7,5,2227.28520520182,7849059,NA,0,0,18,31,15,64,0,-1.164663,7,49,49,0.214369,0.070225,15.8759042099618,15.8614122497878,7.70853872605427,7.69549762609256,3,3,91,3,0,1,0,2,3,3,0,1,1,0,1,0,1,0,0,2,1,1,0,2,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1
2014,"Honduras",0.427,0.826,0.59,0.423,-0.882,1.024,5,5,1.102,0.866,"electoral autocracy",1,7,7,5,2263.52392130704,7961680,NA,0,0,19,34,15,68,0,-0.9445819,7,49,49,0.182329,0.069696,15.8901505908279,15.8759042099618,7.72467813510249,7.70853872605427,3,3,91,4,0,1,0,3,4,4,0,1,0,0,1,1,0,0,0,3,0,3,2,2,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1
2015,"Honduras",0.418,0.849,0.59,0.423,-0.882,1.024,4,5,1.102,0.866,"electoral autocracy",1,7,7,5,2313.04507576407,8075060,NA,0,0,18,34,15,67,0,-0.9256243,7,49,49,0.174724,0.055225,15.9042908573859,15.8901505908279,7.74632015005023,7.72467813510249,3,3,91,4,0,0,1,3,3,4,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
2007,"El Salvador",0.577,0.638,1.17,0.455,-1.074,1.337,7,5,1.402,0.919,"electoral democracy",1,7,7,5,3597.96199059277,5986414,NA,0,0,10,18,14,42,1,-0.6450427,7,49,49,0.332929,0.133956,15.6050031263798,15.6018480213153,8.18812285041709,8.1535991499087,3,3,92,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,"El Salvador",0.617,0.6,1.17,0.455,-1.03,1.337,7,5,1.402,0.919,"electoral democracy",1,8,8,6,3509.15643619954,6021368,NA,0,0,10,19,14,43,1,-0.7476089,7,64,49,0.380689,0.163216,15.6108250339942,15.6079696157565,8.16313095600857,8.19781813440188,3,3,92,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"El Salvador",0.596,0.6,1.17,0.455,-0.916,1.337,8,5,1.402,0.919,"electoral democracy",1,8,8,6,3615.58323042619,6055208,NA,0,0,9,17,14,40,1,-0.7222229,8,64,64,0.355216,0.186624,15.6164292861547,15.6136340669976,8.19300845779706,8.1738774667395,3,3,92,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
2016,"El Salvador",0.688,0.494,1.026,0.465,-0.977,1.473,8,5,1.275,0.9,"electoral democracy",NA,8,8,6,NA,NA,NA,0,0,10,18,13,41,1,NA,8,64,64,0.473344,0.262144,NA,15.6281477299825,NA,8.25663527864197,3,3,92,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,"Nicaragua",0.643,0.701,1.493,0,-0.163,NA,NA,5,1.256,0.895,"electoral democracy",1,8,8,7,1394.91111964702,5309703,NA,0,0,14,17,11,42,1,-0.7676254,8,64,64,0.413449,0.192721,15.4850464594505,15.4719992178975,7.24058597871099,7.20187441430175,2,3,93,2,0,1,1,0,1,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
2005,"Nicaragua",0.643,0.701,1.493,0,-0.163,NA,7,5,1.256,0.895,"electoral democracy",1,8,8,7,1435.81944684179,5379327,NA,0,0,14,18,12,44,1,-0.6137064,8,64,64,0.413449,0.192721,15.4980738313764,15.4850464594505,7.26949100830598,7.24058597871099,3,2,93,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
